TR EN ES Dreaming Complete (testing github)

soñando - rüya görmek - dreaming, no hint
en general - genel olarak - generally, no hint
requerido - gereklidir - required, no hint
deseos - arzular - desires, no hint
personalidad - kişilik - personality, no hint
concepto - konsept - concept, no hint
enseñar - öğretmek - teach, no hint
significaba - demek - meant, no hint
tema - konu - topic, no hint
acecho - seyretme - watching, no hint
concentración - konsantrasyon - concentration, no hint
vaso - bardak - glass, no hint
etapas - aşamalar - stages, no hint
suponer - beklemek - expect, no hint
informes - raporlar - reports, no hint
experimentando - deneyimleme - experiencing, no hint
sucediendo - olay - happening, no hint
respuestas - Yanıtlar - answers, no hint
hábito - alışkanlık - habit, no hint
posibilidad - olasılık - possibility, no hint
pasos - adımlar - steps, no hint
duda - şüphe - doubt, no hint
creación - oluşturma - creation, no hint
particularmente - özellikle - particularly, no hint
regular - düzenli - regular, no hint
obvio - açık - obvious, no hint
asociado - ilişkili - associated, no hint
bajo - düşük - low, no hint
aspecto - Görünüş - aspect, no hint
respuesta - tepki - response, no hint
correr - koşmak - run, no hint
encuentro - karşılaşma - encounter, no hint
describir - tanımlamak - describe, no hint
cambiando - değiştirme - changing, no hint
idioma - dil - language, no hint
sentimientos - hisler - feelings, no hint
algo - biraz - somewhat, no hint
probar - kanıtlamak - prove, no hint
aceptar - kabul etmek - accept, no hint
tal vez - olabilir - maybe, no hint
potestades - güçler - powers, no hint
limitado - sınırlı - limited, no hint
preparado - hazırlanmış - prepared, no hint
dando - vermek - giving, no hint
superar - aşmak - overcome, no hint
grave - ciddi - serious, no hint
corriendo - koşma - running, no hint
maravilloso - olağanüstü - wonderful, no hint
enseñó - öğretti - taught, no hint
potencial - potansiyel - potential, no hint
esencia - öz - essence, no hint
miedos - korkular - fears, no hint
esperanza - umut - hope, no hint
moderno - modern - modern, no hint
tarde - geç - late, no hint
hoy - bugün - today, no hint
asignaturas - konular - subjects, no hint
involucrado - dahil - involved, no hint
puntos - puan - points, no hint
mar - deniz - sea, no hint
viajes - yolculuklar - journeys, no hint
incapaz - yapamaz - unable, no hint
importancia - önem - importance, no hint
occidental - batı - western, no hint
escribió - yazdı - wrote, no hint
siglo - yüzyıl - century, no hint
carta - mektup - letter, no hint
posiblemente - muhtemelen - possibly, no hint
apariencia - görünüm - appearance, no hint
música - müzik - music, no hint
descubierto - keşfetti - discovered, no hint
cortar - kesmek - cut, no hint
Perfecto - mükemmel - perfect, no hint
mencionado - bahsedilen - mentioned, no hint
paso - geçen - passing, no hint
monjes - keşişler - monks, no hint
enfocado - odaklanmış - focused, no hint
practicas - uygulamalar - practices, no hint
sugerir - önermek - suggest, no hint
fenómenos - fenomen - phenomena, no hint
llave - anahtar - key, no hint
estudios - çalışmalar - studies, no hint
acuerdo - tutma - keeping, no hint
meses - aylar - months, no hint
mayor - majör - major, no hint
cuando - her ne zaman - whenever, no hint
Consejo - tavsiye - advice, no hint
amado - sevilen - loved, no hint
calidad - kalite - quality, no hint
inducir - teşvik etmek - induce, no hint
caja - Kutu - box, no hint
reloj - saat - clock, no hint
exitoso - başarılı - successful, no hint
psicológico - psikolojik - psychological, no hint
regresando - geri dönen - returning, no hint
experimentos - deneyler - experiments, no hint
LED - Led - led, no hint
más temprano - daha erken - earlier, no hint
correcto - doğru - correct, no hint
valor - değer - worth, no hint
vencer - vadesi gelmiş - due, no hint
papel - kağıt - paper, no hint
sociedad - toplum - society, no hint
conexión - bağ - connection, no hint
da - verir - gives, no hint
despertó - uyanmak - woke, no hint
creando - oluşturma - creating, no hint
firmar - işaret - sign, no hint
rango - Aralık - range, no hint
sensorial - duyusal - sensory, no hint
cruzar - çapraz - cross, no hint
mas grande - daha büyük - larger, no hint
esposa - kadın eş - wife, no hint
sugerencia - öneri - suggestion, no hint
amplio - geniş - wide, no hint
cubierto - kapalı - covered, no hint
entrando - giren - entering, no hint
notado - farkedildi - noticed, no hint
verano - yaz - summer, no hint
alegría - sevinç - joy, no hint
aumentado - arttı - increased, no hint
creencias - inançlar - beliefs, no hint
aparente - bariz - apparent, no hint
útil - işe yarar - useful, no hint
seguido - takip etti - followed, no hint
principal - ana - main, no hint
sabe - bilir - knows, no hint
informó - bildirildi - reported, no hint
pagar - ödemek - pay, no hint
Derecho - Düz - straight, no hint
brillante - parlak - bright, no hint
adelante - önde - ahead, no hint
ocupaciones - aktiviteler - activities, no hint
metido - yerleştirilmiş - placed, no hint
cambios - değişiklikler - changes, no hint
olvidar - unutmak - forget, no hint
org - org - org, no hint
hallazgo - bulma - finding, no hint
Universidad - Üniversite - university, no hint
mensaje - İleti - message, no hint
expedido - gönderildi - sent, no hint
músculos - kaslar - muscles, no hint
patrones - desenler - patterns, no hint
instantáneamente - anında - instantly, no hint
elementos - elementler - elements, no hint
Velocidad - oran - rate, no hint
Produce - üretmek - produce, no hint
evitar - önlemek - avoid, no hint
decidir - karar ver - decide, no hint
fijado - belirtilen - stated, no hint
salud - sağlık - health, no hint
original - orijinal - original, no hint
lleno - dolu - filled, no hint
tranquilo - sessiz - quiet, no hint
ninguna - Yok - none, no hint
radio - radyo - radio, no hint
avanzado - ileri - advanced, no hint
regresó - iade - returned, no hint
Por favor - Lütfen - please, no hint
buscar - aramak - seek, no hint
semanas - haftalar - weeks, no hint
secreto - gizli - secret, no hint
criaturas - yaratıklar - creatures, no hint
interno - iç - internal, no hint
carencia - eksiklik - lack, no hint
longitud - uzunluk - length, no hint
visual - görsel - visual, no hint
despacio - yavaş - slow, no hint
ola - dalga - wave, no hint
ayuda - yardım eder - helps, no hint
olas - dalgalar - waves, no hint
frecuencia - Sıklık - frequency, no hint
perder - kaybetmek - lose, no hint
repentino - ani - sudden, no hint
creyó - inanmış - believed, no hint
complejo - karmaşık - complex, no hint
físicamente - fiziksel olarak - physically, no hint
gradualmente - yavaş yavaş - gradually, no hint
cambio - vardiya - shift, no hint
perfectamente - kusursuzca - perfectly, no hint
reporte - bildiri - report, no hint
cansado - yorgun - tired, no hint
luces - ışıklar - lights, no hint
trabajo - iş - job, no hint
naturalmente - doğal olarak - naturally, no hint
calma - sakin - calm, no hint
apertura - açılış - opening, no hint
patrón - Desen - pattern, no hint
caballo - at - horse, no hint
separar - ayrı - separate, no hint
recordado - hatırladı - remembered, no hint
contento - mutlu - happy, no hint
habitación - yatak odası - bedroom, no hint
casi - neredeyse - nearly, no hint
escoger - Seç - choose, no hint
fuertemente - şiddetle - strongly, no hint
lista - liste - list, no hint
entendido - anladım - understood, no hint
efectos - Etkileri - effects, no hint
función - işlevi - function, no hint
descanso - kırmak - break, no hint
dificultad - zorluk - difficulty, no hint
mentira - Yalan - lie, no hint
ruido - gürültü, ses - noise, no hint
movimiento - hareket - motion, no hint
cómodo - rahat - comfortable, no hint
conectado - bağlı - connected, no hint
pedazo - parça - piece, no hint
relación - ilişki - relationship, no hint
minuto - dakika - minute, no hint
mentalmente - zihinsel olarak - mentally, no hint
notas - notlar - notes, no hint
recoger - toplamak - pick, no hint
llevar - Taşımak - carry, no hint
imágenes - resimler - pictures, no hint
entrada - giriş - entry, no hint
junto a - yanında - beside, no hint
ganado - kazandı - won, no hint
noche - akşam - evening, no hint
té - Çay - tea, no hint
rápido - hızlı - fast, no hint
existe - var - exists, no hint
emoción - duygu - emotion, no hint
Halar - Çek - pull, no hint
multa - ince - fine, no hint
comienza - başlar - begins, no hint
preguntando - sormak - asking, no hint
sección - Bölüm - section, no hint
base - temel - base, no hint
observar - gözlemek - observe, no hint
cambiado - değişti - changed, no hint
adicional - katma - added, no hint
mía - benim - mine, no hint
río - nehir - river, no hint
suavemente - nazikçe - gently, no hint
dedos - parmaklar - fingers, no hint
vibración - titreşim - vibration, no hint
templo - tapınak şakak .. mabet - temple, no hint
entidades - varlıklar - entities, no hint
explicado - açıkladı - explained, no hint
fuerza - gücü - strength, no hint
Espere - Bekle - wait, no hint
concentrado - yoğunlaşmak - concentrate, no hint
comer - yemek - eat, no hint
sangre - kan - blood, no hint
animal - hayvan - animal, no hint
paredes - duvarlar - walls, no hint
médico - tıbbi - medical, no hint
buscar - arama - search, no hint
cosas - şey - stuff, no hint
desconocido - Bilinmeyen - unknown, no hint
recibir - teslim almak - receive, no hint
simbolos - semboller - symbols, no hint
mantener - sürdürmek - maintain, no hint
nacimiento - doğum - birth, no hint
objetivo - hedef - target, no hint
frecuentemente - sık sık - frequently, no hint
vuelo - uçuş - flight, no hint
de alguna manera - bir şekilde - somehow, no hint
energías - enerjiler - energies, no hint
Embarcacion - gemi - ship, no hint
sistemas - sistemleri - systems, no hint
aspecto - görünüyor - looks, no hint
silla - sandalye - chair, no hint
símbolo - sembol - symbol, no hint
presión - basınç - pressure, no hint
torneado - dönme - turning, no hint
espejo - ayna - mirror, no hint
llevado - taşınan - carried, no hint
proporcionar - sağlamak - provide, no hint
trabajó - çalıştı - worked, no hint
entidad - varlık - entity, no hint
nubes - bulutlar - clouds, no hint
paz - Barış - peace, no hint
recibió - Alınan - received, no hint
montaña - dağ - mountain, no hint
estructura - yapı - structure, no hint
narración - söylüyorum - telling, no hint
tradicion - gelenek - tradition, no hint
totalmente - tamamen - totally, no hint
indirecto - dolaylı - indirect, no hint
cielo - cennet - heaven, no hint
Roca - taş - stone, no hint
cofre - göğüs - chest, no hint
puro - saf - pure, no hint
subir - yükselmek - rise, no hint
rock - Kaya - rock, no hint
pie - ayak - foot, no hint
millas - mil - miles, no hint
Servicio - hizmet - service, no hint
profesor - öğretmen - teacher, no hint
increíble - inanılmaz - amazing, no hint
dimensional - boyutlu - dimensional, no hint
dorado - altın - golden, no hint
clase - sınıf - class, no hint
visualización - görselleştirme - visualization, no hint
impresión - izlenim - impression, no hint
sagrado - kutsal - sacred, no hint
mil - bin - thousand, no hint
cuello - boyun - neck, no hint
miles - binlerce - thousands, no hint
fe - inanç - faith, no hint
mal - kötü - evil, no hint
cuales - hangi - care, no hint
adelante - ileri - forth, no hint
niña - kız - girl, no hint
obtiene - alır - gets, no hint
visualizar - görselleştirmek - visualize, no hint
Rosa - gül - rose, no hint
murió - öldü - died, no hint
tirado - çekti - pulled, no hint
percibido - algılanan - perceived, no hint
ejemplo - örnek - instance, no hint
hospital - hastane - hospital, no hint
sub - alt - sub, no hint
su - final - son, no hint
ubicación - yer - location, no hint
colores - renkler - colors, no hint
color - renk - color, no hint
Iglesia - kilise - church, no hint
pelo - saç - hair, no hint
fantasma - hayalet - phantom, no hint
zona - bölge - zone, no hint
carne - et - flesh, no hint
silencio - Sessizlik - silence, no hint
calentar - Ilık, hafif sıcak - warm, no hint
cueva - mağara - cave, no hint
bastante - oldukça - fairly, no hint
Entrada - Giriş - entrance, no hint
gatos - kediler - cats, no hint
almacenado - saklanmış - stored, no hint
grabación - kayıt - recording, no hint
anterior - önceki - prior, no hint
reclamación (es - iddialar - claims, no hint
publicado - yayınlanan - published, no hint
subsecuente - sonraki - subsequent, no hint
coraje - cesaret - courage, no hint
contenido - içerik - contents, no hint
oscuridad - gölgeler - shadows, no hint
amanecer - şafak - dawn, no hint
Smo - aziz - saint, no hint
de - itibaren - van, no hint
zorro - tilki - fox, no hint
relleno - dolgu - filling, no hint
paisaje - manzara - landscape, no hint
alucinaciones - halüsinasyonlar - hallucinations, no hint
despertares - uyanışlar - awakenings, no hint
sólo - sadece - bare, no hint
pruebas - test yapmak - testing, no hint
nariz - burun - nose, no hint
pruebas - testler - tests, no hint
inducción - indüksiyon - induction, no hint
templado - hafif - mild, no hint
expectativa - beklenti - expectation, no hint
compañero - ortak - partner, no hint
creciente - artan - increasing, no hint
mantener - sürdürme - maintaining, no hint
situaciones - durumlar - situations, no hint
choque - şok - shock, no hint
controlador - kontrol - controlling, no hint
magia - büyü - magic, no hint
puertas - kapılar - doors, no hint
realidades - gerçekler - realities, no hint
creatividad - yaratıcılık - creativity, no hint
mentiras - yalanlar - lies, no hint
bote - tekne - boat, no hint
preparación - hazırlık - preparation, no hint
curioso - Meraklı - curious, no hint
constantemente - sürekli - constantly, no hint
misterio - gizem - mystery, no hint
levantado - kaldırdı - lifted, no hint
hojas - yapraklar - leaves, no hint
piel - cilt - skin, no hint
rutina - rutin - routine, no hint
raro - nadir - rare, no hint
poniendo - koymak - putting, no hint
aparte - kenara - aside, no hint
brevemente - kısaca - briefly, no hint
espectro - spektrum - spectrum, no hint
yoes - kendileri - selves, no hint
agudo - keskin - sharp, no hint
considerable - önemli - considerable, no hint
comúnmente - yaygın olarak - commonly, no hint
aparentemente - görünüşte - seemingly, no hint
observando - gözlem - observing, no hint
examinar - muayene etmek - examine, no hint
pasivo - pasif - passive, no hint
Oceano - okyanus - ocean, no hint
exploración - keşif - exploration, no hint
descubrimiento - keşif - discovery, no hint
mientras que - İken - whilst, no hint
peculiar - tuhaf - peculiar, no hint
papel - rol - role, no hint
promedio - ortalama - average, no hint
duración - süresi - duration, no hint
increíble - inanılmaz - incredible, no hint
planeta - gezegen - planet, no hint
mayoria - çoğunluk - majority, no hint
exigir - gerek - require, no hint
comiendo - yemek yiyor - eating, no hint
hechos - eylemler - acts, no hint
enseñando - öğretim - teaching, no hint
interminable - sonsuz - endless, no hint
televisión - televizyon - television, no hint
calles - sokaklar - streets, no hint
pueblo - kasaba - town, no hint
sostiene - tutar - holds, no hint
opinión - fikir - opinion, no hint
corporal - bedensel - bodily, no hint
social - sosyal - social, no hint
desperdicio - atık - waste, no hint
mejorar - geliştirmek - improve, no hint
especies - Türler - species, no hint
raro - garip - odd, no hint
refugio - cennet - haven, no hint
marcha - işleyen - functioning, no hint
preocupado - endişeli - concerned, no hint
sano - sağlıklı - healthy, no hint
Reclamación - İddia - claim, no hint
contenido - içerik - content, no hint
análisis - analiz - analysis, no hint
sabor - damak zevki - taste, no hint
elección - tercih - choice, no hint
activamente - aktif olarak - actively, no hint
absoluto - mutlak - absolute, no hint
belleza - güzellik - beauty, no hint
previamente - Önceden - previously, no hint
compañero - dost - fellow, no hint
diferencias - farklılıklar - differences, no hint
representar - temsil etmek - represent, no hint
cocina - mutfak - kitchen, no hint
diferente a - aksine - unlike, no hint
subjetivo - öznel - subjective, no hint
idéntico - özdeş - identical, no hint
discutido - tartışıldı - discussed, no hint
sesos - beyinler - brains, no hint
conclusión - sonuç - conclusion, no hint
crítico - kritik - critical, no hint
generado - oluşturulmuş - generated, no hint
acompañado - eşlik eden - accompanied, no hint
raramente - seyrek - rarely, no hint
apenas - zorlukla - hardly, no hint
tratando - teşebbüs - attempting, no hint
aumento - yükseltmek - raise, no hint
fantasía - fantezi - fantasy, no hint
conceptos - kavramlar - concepts, no hint
realista - gerçekçi - realistic, no hint
absolutamente - tamamen - utterly, no hint
esperado - beklenen - expected, no hint
rápido - hızlı - rapid, no hint
movimientos - hareketler - movements, no hint
de vez en cuando - bazen - occasionally, no hint
responder - cevap vermek - respond, no hint
terror - terör - terror, no hint
respuestas - tepkiler - responses, no hint
ninguno - hiçbiri - neither, no hint
distinto - farklı - distinct, no hint
variedad - Çeşitlilik - variety, no hint
remoto - kaldırıldı - removed, no hint
literalmente - kelimenin tam anlamıyla - literally, no hint
intensidad - yoğunluk - intensity, no hint
distante - uzak - distant, no hint
tipos - türler - kinds, no hint
profundo - derin - profound, no hint
peso - ağırlık - weight, no hint
único - benzersiz - unique, no hint
mágico - büyülü - magical, no hint
satisfecho - memnun - satisfied, no hint
demostrado - kanıtlanmış - proved, no hint
sorpresa - sürpriz - surprise, no hint
sobre - üstüne - onto, no hint
inmediato - hemen - immediate, no hint
dificultades - zorluklar - difficulties, no hint
realizado - gerçekleştirilen - performed, no hint
el respeto - saygı - respect, no hint
detallado - detaylı - detailed, no hint
sufrir - acı çekmek - suffer, no hint
mecanismo - mekanizma - mechanism, no hint
captura - tutmak - catch, no hint
treinta - otuz - thirty, no hint
Igualmente - eşit - equally, no hint
infancia - çocukluk - childhood, no hint
oferta - teklif - offer, no hint
habilidad - beceri - skill, no hint
practicantes - uygulayıcılar - practitioners, no hint
visión - içgörü - insight, no hint
Peligro - Tehlike - danger, no hint
formado - oluşturulan - formed, no hint
privado - özel - private, no hint
carrera - yarış - race, no hint
factor - faktör - factor, no hint
procesos - süreçler - processes, no hint
habla a - adres - address, no hint
objetivo - amaç - objective, no hint
hechos - Gerçekler - facts, no hint
rodeando - çevreleyen - surrounding, no hint
escritor - yazar - writer, no hint
incluir - Dahil etmek - include, no hint
destino - hedef - destination, no hint
ascensor - asansör - lift, no hint
fecha - tarih - date, no hint
contiene - içerir - contains, no hint
intentó - teşebbüs - attempted, no hint
temas - konular - topics, no hint
profundidad - derinlik - depth, no hint
toda la vida - ömür - lifetime, no hint
preferir - tercih etmek - prefer, no hint
Fresco - taze - fresh, no hint
fuentes - kaynaklar - sources, no hint
diseñado - tasarlanmış - designed, no hint
referencia - referans - reference, no hint
lógico - mantıklı - logical, no hint
Ayudar - yardım ediyor - helping, no hint
establecido - kurulmuş - established, no hint
evolución - evrim - evolution, no hint
construido - inşa edilmiş - built, no hint
inteligente - akıllı - intelligent, no hint
herramientas - araçlar - tools, no hint
comunicar - iletişim kurmak - communicate, no hint
cultura - kültür - culture, no hint
misterioso - gizemli - mysterious, no hint
voces - sesler - voices, no hint
humanidad - insanlık - humanity, no hint
siglos - yaşlar - ages, no hint
oportunidad - fırsat - occasion, no hint
espontáneo - doğal - spontaneous, no hint
Dioses - tanrılar - gods, no hint
significativo - önemli - significant, no hint
Guia - rehberlik - guidance, no hint
grabado - kaydedildi - recorded, no hint
jugó - oynadı - played, no hint
se mantuvo - kaldı - remained, no hint
recientemente - son günlerde - recently, no hint
oculto - gizli - hidden, no hint
reciente - son - recent, no hint
descripción - açıklama - description, no hint
cuarto - dördüncü - fourth, no hint
sacerdote - rahip - priest, no hint
fallecido - merhum - deceased, no hint
visitó - ziyaret - visited, no hint
Notable - dikkate değer - remarkable, no hint
mostrado - gösterilen - shown, no hint
santo - kutsal - holy, no hint
caracteres - karakterler - characters, no hint
opuesto - karşısında - opposite, no hint
regularmente - düzenli olarak - regularly, no hint
previsto - sağlanan - provided, no hint
logrando - başarmak - achieving, no hint
lector - okuyucu - reader, no hint
apoyo - destek - support, no hint
valor - değer - value, no hint
destinado a - amaçlanan - intended, no hint
alerta - uyarmak - alert, no hint
a partir de - Başlangıç - starting, no hint
ajuste - Uygun - fit, no hint
a fondo - iyice - thoroughly, no hint
buscando - arayan - seeking, no hint
popular - popüler - popular, no hint
francés - Fransızca - french, no hint
este - Doğu - east, no hint
China - Çin - china, no hint
inteligencia - zeka - intelligence, no hint
gestionado - yönetilen - managed, no hint
respecto a - ilgili - regarding, no hint
noches - geceler - nights, no hint
registros - kayıtları - records, no hint
quince - on beş - fifteen, no hint
curiosidad - merak - curiosity, no hint
Desafortunadamente - ne yazık ki - unfortunately, no hint
ha fallado - başarısız oldu - failed, no hint
famoso - tanınmış - famous, no hint
interpretación - yorumlama - interpretation, no hint
direcciones - talimatlar - directions, no hint
cercanamente - yakından - closely, no hint
sugiere - Önerir - suggests, no hint
empujar - it - push, no hint
limites - limitler - limits, no hint
jugando - oynama - playing, no hint
puramente - yalnızca - purely, no hint
pareja - çift - couple, no hint
plan - plan - plan, no hint
asociación - bağlantı - association, no hint
permitido - izin verildi - allowed, no hint
desencadenar - tetiklemek - trigger, no hint
inducido - indüklenmiş - induced, no hint
viaje - gezi - trip, no hint
dormido - uyudu - slept, no hint
montañas - dağlar - mountains, no hint
versión - versiyon - version, no hint
investigadores - araştırmacılar - researchers, no hint
terrible - korkunç - terrible, no hint
ahora - şimdi - sad, no hint
reflexión - yansıma - reflection, no hint
base - temel - basis, no hint
capaz - yetenekli - capable, no hint
preciso - doğru - accurate, no hint
comunidad - topluluk - community, no hint
trayendo - getirmek - bringing, no hint
dos veces - iki defa - twice, no hint
transición - geçiş - transition, no hint
describe - tanımlar - describes, no hint
señalado - not alınmış - noted, no hint
indicar - belirtmek - indicate, no hint
disfrutar - zevk almak - enjoy, no hint
asuntos - önemli - matters, no hint
documentos - kağıtlar - papers, no hint
alterado - değişmiş - altered, no hint
levantamiento - yükselen - raising, no hint
permanece - kalıntılar - remains, no hint
guerra - savaş - war, no hint
ocasiones - durumlar - occasions, no hint
tren - tren - train, no hint
sí misma - kendini - herself, no hint
casas - evler - houses, no hint
piedras - taşlar - stones, no hint
lados - yanlar - sides, no hint
correctamente - doğru şekilde - correctly, no hint
solución - çözüm - solution, no hint
terminó - Bitti - ended, no hint
conjuntos - setleri - sets, no hint
aparte - ayrı - apart, no hint
desaparecido - eksik - missing, no hint
determinado - belirlenen - determined, no hint
acceso - Giriş - access, no hint
máquina - makine - machine, no hint
salvar - kayıt etmek - save, no hint
Cuidado - dikkatli - careful, no hint
contexto - bağlam - context, no hint
marrón - Kahverengi - brown, no hint
vueltas - döner - turns, no hint
ángulo - açı - angle, no hint
grados - derece - degrees, no hint
caracteristicas - özellikleri - features, no hint
espejismo - yanılsama - illusion, no hint
inducir - teşvik - inducing, no hint
observación - gözlem - observation, no hint
ayuda - yardım - aid, no hint
interino - oyunculuk - acting, no hint
instituto - Enstitü - institute, no hint
sugerencias - öneriler - suggestions, no hint
enviar - göndermek - send, no hint
señales - sinyaller - signals, no hint
científicos - Bilim insanları - scientists, no hint
razones - nedenleri - reasons, no hint
tracción - çekme - pulling, no hint
seco - kuru - dry, no hint
liberación - serbest bırakmak - release, no hint
mencionar - Anma - mention, no hint
juego - oyun - game, no hint
esfera - küre - sphere, no hint
público - halka açık - public, no hint
adición - ilave - addition, no hint
referido - sevk - referred, no hint
central - merkezi - central, no hint
usos - kullanır - uses, no hint
continúa - devam ediyor - continues, no hint
enseñanzas - öğretiler - teachings, no hint
personalmente - Şahsen - personally, no hint
producido - üretilmiş - produced, no hint
computadora - bilgisayar - computer, no hint
adivinar - tahmin - guess, no hint
comparado - karşılaştırıldığında - compared, no hint
señal - sinyal - signal, no hint
auténtico - hakiki - genuine, no hint
aceptado - kabul edilmiş - accepted, no hint
ocurriendo - meydana gelen - occurring, no hint
prueba - kanıt - proof, no hint
facilitar - kolaylaştırmak - ease, no hint
Ofrecido - sunulan - offered, no hint
local - yerel - local, no hint
permitiendo - izin vermek - allowing, no hint
extra - ekstra - extra, no hint
visible - gözle görülür - visible, no hint
cambiar - değiştirmek - switch, no hint
dama - Hanım - lady, no hint
pelota - top - ball, no hint
dentro de poco - kısaca - shortly, no hint
cerrar - kapamak - shut, no hint
mayor - En büyük - greatest, no hint
solar - solar - solar, no hint
emocionado - uyarılmış - excited, no hint
agotador - giyme - wearing, no hint
paisaje - manzara - scenery, no hint
contenido - içerilen - contained, no hint
circunstancias - koşullar - circumstances, no hint
ejemplos - örnekler - examples, no hint
dispositivo - cihaz - device, no hint
datos - veri - data, no hint
mando - komut - command, no hint
eléctrico - elektriksel - electrical, no hint
débil - güçsüz - weak, no hint
más fuerte - Daha güçlü - stronger, no hint
alarma - alarm - alarm, no hint
conversacion - konuşma - conversation, no hint
libertad - özgürlük - freedom, no hint
triunfar - başarılı olmak - succeed, no hint
asunto - konu - issue, no hint
líneas - çizgiler - lines, no hint
de acuerdo - Katılıyorum - agree, no hint
esencial - önemli - essential, no hint
aplicar - uygulamak - apply, no hint
independiente - bağımsız - independent, no hint
vacío - geçersiz - void, no hint
sitio - site - site, no hint
asiento - oturma yeri - seat, no hint
enorme - Kocaman - huge, no hint
beneficios - faydalar - benefits, no hint
física - fizik - physics, no hint
miembros - üyeler - members, no hint
grupos - grupları - groups, no hint
aplicado - uygulamalı - applied, no hint
ayudó - yardım etti - helped, no hint
recomendar - önermek - recommend, no hint
lo esencial - temeller - basics, no hint
oso - ayı - bear, no hint
teléfono - telefon - phone, no hint
recordando - hatırlama - remembering, no hint
creciente - büyüyen - growing, no hint
divertida - eğlence - fun, no hint
vital - hayati - vital, no hint
reinos - krallıklar - realms, no hint
ciclos - döngüleri - cycles, no hint
estrés - stres - stress, no hint
propósitos - amaçlar - purposes, no hint
punto de vista - bakış açısı - viewpoint, no hint
roto - kırık - broken, no hint
caracteristicas - özellikleri - characteristics, no hint
relativamente - Nispeten - relatively, no hint
manual - Manuel - manual, no hint
medicamento - ilaç - medicine, no hint
Confusión - bilinç bulanıklığı, konfüzyon - confusion, no hint
más viejo - daha eski - older, no hint
deriva - sürüklenme - drift, no hint
externo - dış - external, no hint
empieza - başlar - starts, no hint
sigue - takip eder - follows, no hint
funciones - fonksiyonlar - functions, no hint
confundido - Şaşkın - confused, no hint
gas - gaz - gaze, no hint
ciego - kör - blind, no hint
necesariamente - zorunlu olarak - necessarily, no hint
correspondiente - karşılık gelen - corresponding, no hint
descansando - dayanma - resting, no hint
secuencia - sıra - sequence, no hint
exacto - tam - exact, no hint
periodos - dönemler - periods, no hint
aumenta - artışlar - increases, no hint
olvidado - unutulmuş - forgotten, no hint
palo - Çubuk - stick, no hint
último - sonraki - latter, no hint
referir - başvurmak - refer, no hint
nombres - isimler - names, no hint
elemento - element - element, no hint
desmayarse - baygın - faint, no hint
túnel - tünel - tunnel, no hint
escenas - sahneler - scenes, no hint
rápidamente - hızla - rapidly, no hint
tender - Bakmak - tend, no hint
construir - inşa etmek - build, no hint
observador - gözlemci - observer, no hint
ruidoso - gürültülü - loud, no hint
ruidos - sesler - noises, no hint
anillo - yüzük - ring, no hint
factores - faktörler - factors, no hint
nieve - kar - snow, no hint
acostumbrado - alışkın - accustomed, no hint
seguro - kasa - safe, no hint
ataque - saldırı - attack, no hint
masculino - erkek - male, no hint
hembra - kadın - female, no hint
ejecutando - performans - performing, no hint
pánico - panik - panic, no hint
regla - kural - rule, no hint
pulgadas - inç - inches, no hint
Expectativas - beklentiler - expectations, no hint
posibilidades - olanaklar - possibilities, no hint
posibilidades - şans - chances, no hint
señales - işaretler - signs, no hint
pesadilla - kâbus - nightmare, no hint
desagradable - hoş olmayan - unpleasant, no hint
Contiene - içerir - contain, no hint
mes - ay - month, no hint
sabiduría - bilgelik - wisdom, no hint
agregar - Ekle - add, no hint
caídas - düşme - falls, no hint
procedimiento - prosedür - procedure, no hint
permite - izin verir - allows, no hint
principal - lider - leading, no hint
en cualquier sitio - herhangi bir yer - anywhere, no hint
artículos - öğeler - items, no hint
lección - ders - lesson, no hint
apresuraron - koştu - rushed, no hint
influencias - etkiler - influences, no hint
antecedentes - arka fon - background, no hint
firmemente - sıkıca - firmly, no hint
untado - yayılmış - spread, no hint
dependiente - bağlı - depending, no hint
explicación - açıklama - explanation, no hint
hábitos - alışkanlıklar - habits, no hint
individuos - bireyler - individuals, no hint
se mueve - hareketler - moves, no hint
alcanzando - ulaşma - reaching, no hint
equilibrar - denge - balance, no hint
operando - işletme - operating, no hint
suficiente - yeterli - sufficient, no hint
trae - getiriyor - brings, no hint
truco - hile - trick, no hint
principio - prensip - principle, no hint
instrucciones - Talimatlar - instructions, no hint
logrado - elde edildi - achieved, no hint
ajuste - ayar - setting, no hint
en otra parte - başka yerde - elsewhere, no hint
limitaciones - sınırlamalar - limitations, no hint
oído - kulak - ear, no hint
forzado - zorunlu - forced, no hint
relación comercial - ticaret - dealing, no hint
leve - hafif - slight, no hint
prisa - acele - rush, no hint
estímulo - uyarım - stimulation, no hint
pérdida - kayıp - loss, no hint
fumar - Sigara içmek - smoke, no hint
todos los días - Her gün - everyday, no hint
fallar - başarısız - fail, no hint
deseado - İstenen - desired, no hint
secundario - ikincil - secondary, no hint
beneficio - yarar - benefit, no hint
caído - düşmüş - fallen, no hint
Mancha - yer - spot, no hint
ideal - ideal - ideal, no hint
exitosamente - başarıyla - successfully, no hint
pez - balık - fish, no hint
firma - sağlam - firm, no hint
relativo - akraba - relative, no hint
recordó - hatırlattı - reminded, no hint
parcialmente - kısmen - partially, no hint
esfuerzos - çabalar - efforts, no hint
vacío - boş - empty, no hint
dificil - mücadele etmek - struggle, no hint
constante - sabit - constant, no hint
